時間戳記,年級,就讀高中縣市,你知道2019年4/15巴黎聖母院發生什麼事了嗎？,你知道2019年4/10宣布了什麼天文學上的重大新聞嗎？,2018年中國科學家賀建奎發表了什麼造成全球學術界譁然？,你知道2019年4/21斯里蘭卡發生什麼事嗎？,你知道連續六年受假消息攻擊最嚴重的地方是？,你知道2018年臉書為什麼發生「刪帳號潮」嗎？,你知道2019年3/15在紐西蘭基督城發生了什麼事嗎？,你知道2019年4/25普丁和誰會面了嗎？,你知道2018年12/22印尼海嘯發生原因嗎？,你知道日本新年號是什麼嗎？,分數,平日資訊接收來源,意見回饋,您認為這份題目的難易度是?,這份問卷會讓你想要更加了解國際時事嗎?,,,,
4/28/2019 19:41:39,高三,雲嘉南,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,以上皆非,隱私外洩,槍擊案,金正恩,火山爆發,令和,100 / 100,"網路新聞, 巴哈姆特討論區, Facebook, 他人告知、口耳相傳",一直爆雷一直爽,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,2,,,,
4/28/2019 19:42:07,高二,基北北,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,大陸,隱私外洩,槍擊案,不知道,火山爆發,令和,80 / 100,"電視, 網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,中間偏難，跟你找到女朋友的可能一樣,3,,,,
4/28/2019 19:42:52,高二,基北北,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,大陸,隱私外洩,槍擊案,不知道,火山爆發,令和,80 / 100,"電視, 網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,中間偏難，跟你找到女朋友的可能一樣,3,,,,
4/28/2019 19:43:16,高三,基北北,火災,拍到黑洞周圍電磁波影像,猴腦植入人體基因,爆炸案,大陸,臉書被中資收購,不知道,不知道,核彈試射,令和,40 / 100,"電視, 網路新聞, Facebook",,馬馬虎虎，就像我們連梗都懶得想一樣,3,,,,
4/30/2019 16:10:31,高一,彰中投,恐怖攻擊,拍到黑洞周圍電磁波影像,不知道,不知道,不知道,隱私外洩,不知道,習近平,海底地震,善化,20 / 100,"電視, 網路新聞",,中間偏難，跟你找到女朋友的可能一樣,4,,,,
4/28/2019 19:44:57,高二,基北北,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,大陸,隱私外洩,槍擊案,金正恩,火山爆發,令和,90 / 100,"電視, 網路新聞, Facebook, Instagram",,簡單到跟垃圾一樣，瞎機巴亂猜都對（挖鼻孔）,4,,,,
5/1/2019 17:01:45,高一,桃竹苗,不知道,拍到黑洞周圍電磁波影像,不知道,不知道,北韓,不知道,不知道,金正恩,不知道,不知道,20 / 100,"電視, Facebook, 他人告知、口耳相傳",,中間偏難，跟你找到女朋友的可能一樣,3,,,,
4/28/2019 19:45:35,高二,雲嘉南,火災,拍到黑洞周圍電磁波影像,猴腦植入人體基因,不知道,北韓,隱私外洩,槍擊案,金正恩,海底地震,令和,60 / 100,"電視, 報章雜誌, 網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,中間偏難，跟你找到女朋友的可能一樣,4,,,,
4/28/2019 19:45:48,高二,桃竹苗,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,以上皆非,隱私外洩,槍擊案,金正恩,火山爆發,令和,100 / 100,"電視, 廣播, 報章雜誌, 網路新聞, 巴哈姆特討論區, Facebook, Instagram, Twitter, 他人告知、口耳相傳",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,5,,,,
4/28/2019 19:46:05,高二,彰中投,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,不知道,以上皆非,不知道,槍擊案,不知道,海底地震,令和,60 / 100,"網路新聞, Facebook, 他人告知、口耳相傳",,馬馬虎虎，就像我們連梗都懶得想一樣,4,,,,
5/1/2019 18:51:21,高一,雲嘉南,火災,不知道,不知道,不知道,大陸,隱私外洩,不知道,川普,海底地震,不知道,20 / 100,"電視, 網路新聞, Facebook, 他人告知、口耳相傳",,這些事有發生過哦，怕豹.jpg,3,,,,
5/1/2019 22:15:34,高一,桃竹苗,火災,不知道,不知道,不知道,北韓,不知道,不知道,不知道,不知道,令和,20 / 100,"電視, 網路新聞, 巴哈姆特討論區, Facebook, Instagram, 他人告知、口耳相傳, Dcard",,這些事有發生過哦，怕豹.jpg,2,,,,
5/2/2019 21:18:37,高一,基北北,不知道,拍到黑洞周圍電磁波影像,不知道,不知道,不知道,隱私外洩,不知道,不知道,不知道,不知道,20 / 100,他人告知、口耳相傳,你問的東西跟教育部想要我們知道的東西有點出入。,這些事有發生過哦，怕豹.jpg,2,,,,
4/28/2019 19:49:01,高三,桃竹苗,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,大陸,隱私外洩,槍擊案,不知道,不知道,令和,70 / 100,"電視, 報章雜誌, 網路新聞, Facebook, 他人告知、口耳相傳",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,2,,,,
4/28/2019 19:49:12,高三,彰中投,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,地震,不知道,臉書被中資收購,槍擊案,金正恩,海底地震,令和,60 / 100,"電視, 網路新聞, 巴哈姆特討論區, Instagram, PTT",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,2,,,,
4/28/2019 19:49:14,高二,基北北,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,大陸,隱私外洩,槍擊案,金正恩,海底地震,令和,80 / 100,"電視, 網路新聞, Facebook",,簡單到跟垃圾一樣，瞎機巴亂猜都對（挖鼻孔）,5,,,,
4/28/2019 19:50:07,高三,基北北,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,不知道,不知道,隱私外洩,槍擊案,不知道,海底地震,令和,60 / 100,"電視, 網路新聞, 巴哈姆特討論區, Facebook, Instagram",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,5,,,,
4/28/2019 19:53:00,高二,彰中投,火災,拍到黑洞周圍電磁波影像,以上皆非,爆炸案,北韓,以上皆非,槍擊案,金正恩,海底地震,以上皆非,50 / 100,"電視, 網路新聞, Facebook",,簡單到跟垃圾一樣，瞎機巴亂猜都對（挖鼻孔）,1,,,,
4/28/2019 19:53:35,高二,基北北,火災,拍到黑洞周圍電磁波影像,不知道,不知道,大陸,隱私外洩,槍擊案,金正恩,火山爆發,令和,70 / 100,"電視, 報章雜誌, 網路新聞, Facebook, Instagram, PTT, 他人告知、口耳相傳",,馬馬虎虎，就像我們連梗都懶得想一樣,3,,,,
4/28/2019 19:54:05,高二,彰中投,火災,拍到黑洞周圍電磁波影像,器官活摘合法論,不知道,大陸,隱私外洩,槍擊案,不知道,海底地震,令和,50 / 100,"Facebook, Instagram, PTT, 他人告知、口耳相傳",欸都，真的設計的不好,這些事有發生過哦，怕豹.jpg,1,,,,
